1, none, minecraft:the_void, AMBIENT, alexsmobs:fly, 10, 2, 3
30, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
31, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
32, none, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
33, none, minecraft:sunflower_plains, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
34, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 30, 4, 4
35, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
36, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 30, 4, 4
37, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 30, 4, 4
38, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 30, 4, 4
39, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
40, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 30, 4, 4
41, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
42, none, minecraft:sunflower_plains, MONSTER, quark:stoneling, 30, 1, 1
43, none, minecraft:sunflower_plains, MONSTER, quark:toretoise, 30, 2, 4
44, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
45, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 25, 7, 7
46, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
47, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 2
48, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
49, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
50, none, minecraft:sunflower_plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
51, none, minecraft:sunflower_plains, CREATURE, crittersandcompanions:ferret, 10, 2, 3
52, none, minecraft:sunflower_plains, CREATURE, friendsandfoes:moobloom, 10, 2, 4
53, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
54, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
55, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
56, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
57, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
58, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
59, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
60, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
61, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
62, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
63, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_guardian, 20, 1, 1
64, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
65, icy, minecraft:snowy_plains, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
66, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 30, 2, 2
67, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 30, 2, 2
68, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
69, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
70, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 30, 4, 4
71, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 30, 4, 4
72, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 30, 4, 4
73, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
74, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 30, 4, 4
75, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
76, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 30, 1, 1
77, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 30, 2, 4
78, icy, minecraft:snowy_plains, CREATURE, alexsmobs:bison, 10, 6, 10
79, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 30, 3, 4
80, icy, minecraft:snowy_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
81, icy, minecraft:snowy_plains, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
82, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
83, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:drygmy, 10, 1, 2
84, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
85, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
86, icy, minecraft:snowy_plains, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
87, icy, minecraft:snowy_plains, CREATURE, cnb:yeti, 20, 2, 3
88, icy, minecraft:snowy_plains, CREATURE, ecologics:penguin, 10, 4, 5
89, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
90, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
91, icy, minecraft:snowy_plains, CREATURE, snuffles:snuffle, 15, 4, 4
92, icy, minecraft:snowy_plains, CREATURE, mythicmounts:acencia, 15, 2, 3
93, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
94, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
95, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
96, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
97, none, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_guardian, 20, 1, 1
98, none, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
99, none, minecraft:ice_spikes, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
100, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 30, 2, 2
101, none, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 30, 2, 2
102, none, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
103, none, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
104, none, minecraft:ice_spikes, MONSTER, minecraft:slime, 30, 4, 4
105, none, minecraft:ice_spikes, MONSTER, minecraft:spider, 30, 4, 4
106, none, minecraft:ice_spikes, MONSTER, minecraft:stray, 30, 4, 4
107, none, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
108, none, minecraft:ice_spikes, MONSTER, minecraft:zombie, 30, 4, 4
109, none, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
110, none, minecraft:ice_spikes, MONSTER, quark:stoneling, 30, 1, 1
111, none, minecraft:ice_spikes, MONSTER, quark:toretoise, 30, 2, 4
112, none, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
113, none, minecraft:ice_spikes, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
114, none, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
115, none, minecraft:ice_spikes, CREATURE, ars_nouveau:drygmy, 10, 1, 2
116, none, minecraft:ice_spikes, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
117, none, minecraft:ice_spikes, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
118, none, minecraft:ice_spikes, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
119, none, minecraft:ice_spikes, CREATURE, cnb:yeti, 20, 2, 3
120, none, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
121, none, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
122, none, minecraft:ice_spikes, CREATURE, snuffles:snuffle, 15, 4, 4
123, none, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 10, 2, 3
124, none, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
125, none, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
126, none, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
127, desert, minecraft:desert, MONSTER, alexsmobs:guster, 20, 1, 2
128, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
129, desert, minecraft:desert, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
130, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 30, 2, 2
131, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 30, 2, 2
132, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
133, desert, minecraft:desert, MONSTER, minecraft:husk, 30, 4, 4
134, desert, minecraft:desert, MONSTER, minecraft:skeleton, 30, 4, 4
135, desert, minecraft:desert, MONSTER, minecraft:slime, 30, 4, 4
136, desert, minecraft:desert, MONSTER, minecraft:spider, 30, 4, 4
137, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
138, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
139, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
140, desert, minecraft:desert, MONSTER, quark:stoneling, 30, 1, 1
141, desert, minecraft:desert, MONSTER, quark:toretoise, 30, 2, 4
142, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
143, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
144, desert, minecraft:desert, CREATURE, ars_nouveau:drygmy, 10, 1, 2
145, desert, minecraft:desert, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
146, desert, minecraft:desert, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
147, desert, minecraft:desert, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
148, desert, minecraft:desert, CREATURE, cnb:cactem, 10, 6, 12
149, desert, minecraft:desert, CREATURE, cnb:lizard, 15, 1, 4
150, desert, minecraft:desert, CREATURE, ecologics:camel, 10, 1, 1
151, desert, minecraft:desert, CREATURE, friendsandfoes:mauler, 10, 1, 1
152, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
153, desert, minecraft:desert, CREATURE, mythicmounts:ridinglizard, 10, 2, 3
154, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
155, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
156, desert, minecraft:desert, AMBIENT, alexsmobs:rain_frog, 10, 1, 3
157, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
158, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
159, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
160, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
161, swamp, minecraft:swamp, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
162, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 30, 2, 2
163, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 30, 2, 2
164, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
165, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 30, 4, 4
166, swamp, minecraft:swamp, MONSTER, minecraft:slime, 30, 4, 4
167, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
168, swamp, minecraft:swamp, MONSTER, minecraft:spider, 30, 4, 4
169, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
170, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 30, 4, 4
171, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
172, swamp, minecraft:swamp, MONSTER, quark:stoneling, 30, 1, 1
173, swamp, minecraft:swamp, MONSTER, quark:toretoise, 30, 2, 4
174, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
175, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 20, 1, 1
176, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 20, 1, 2
177, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
178, swamp, minecraft:swamp, CREATURE, ars_nouveau:drygmy, 10, 1, 2
179, swamp, minecraft:swamp, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
180, swamp, minecraft:swamp, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
181, swamp, minecraft:swamp, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
182, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 30, 1, 1
183, swamp, minecraft:swamp, CREATURE, cnb:minipad, 20, 3, 6
184, swamp, minecraft:swamp, CREATURE, cnb:sporeling, 25, 3, 5
185, swamp, minecraft:swamp, CREATURE, duckling:quackling, 30, 1, 1
186, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
187, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
188, swamp, minecraft:swamp, CREATURE, minecraft:frog, 10, 2, 5
189, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
190, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
191, swamp, minecraft:swamp, CREATURE, swampier_swamps:dragonfly, 10, 3, 6
192, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
193, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
194, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
195, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
196, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
197, swamp, minecraft:mangrove_swamp, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
198, swamp, minecraft:mangrove_swamp, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
199, swamp, minecraft:mangrove_swamp, MONSTER, creeperoverhaul:cave_creeper, 30, 2, 2
200, swamp, minecraft:mangrove_swamp, MONSTER, creeperoverhaul:swamp_creeper, 30, 2, 2
201, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:enderman, 5, 1, 4
202, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:skeleton, 30, 4, 4
203, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 30, 4, 4
204, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:slime, 10, 1, 1
205, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:spider, 30, 4, 4
206, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:witch, 5, 1, 1
207, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie, 30, 4, 4
208, swamp, minecraft:mangrove_swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
209, swamp, minecraft:mangrove_swamp, MONSTER, quark:stoneling, 30, 1, 1
210, swamp, minecraft:mangrove_swamp, MONSTER, quark:toretoise, 30, 2, 4
211, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:anaconda, 20, 1, 1
212, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 12
213, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:crocodile, 20, 1, 2
214, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:mudskipper, 28, 2, 4
215, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:drygmy, 10, 1, 2
216, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
217, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
218, swamp, minecraft:mangrove_swamp, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
219, swamp, minecraft:mangrove_swamp, CREATURE, duckling:quackling, 30, 1, 1
220, swamp, minecraft:mangrove_swamp, CREATURE, minecraft:frog, 10, 2, 5
221, swamp, minecraft:mangrove_swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
222, swamp, minecraft:mangrove_swamp, AMBIENT, minecraft:bat, 10, 8, 8
223, swamp, minecraft:mangrove_swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
224, swamp, minecraft:mangrove_swamp, WATER_CREATURE, alexsmobs:mantis_shrimp, 10, 1, 4
225, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
226, swamp, minecraft:mangrove_swamp, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
227, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
228, forest, minecraft:forest, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
229, forest, minecraft:forest, MONSTER, minecraft:creeper, 30, 4, 4
230, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
231, forest, minecraft:forest, MONSTER, minecraft:skeleton, 30, 4, 4
232, forest, minecraft:forest, MONSTER, minecraft:slime, 30, 4, 4
233, forest, minecraft:forest, MONSTER, minecraft:spider, 30, 4, 4
234, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
235, forest, minecraft:forest, MONSTER, minecraft:zombie, 30, 4, 4
236, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
237, forest, minecraft:forest, MONSTER, quark:stoneling, 30, 1, 1
238, forest, minecraft:forest, MONSTER, quark:toretoise, 30, 2, 4
239, forest, minecraft:forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
240, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 20, 2, 3
241, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
242, forest, minecraft:forest, CREATURE, alexsmobs:skunk, 10, 1, 2
243, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
244, forest, minecraft:forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
245, forest, minecraft:forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
246, forest, minecraft:forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
247, forest, minecraft:forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
248, forest, minecraft:forest, CREATURE, crittersandcompanions:ferret, 10, 2, 3
249, forest, minecraft:forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
250, forest, minecraft:forest, CREATURE, hexerei:crow, 20, 2, 5
251, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
252, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
253, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
254, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
255, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
256, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
257, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
258, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
259, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
260, forest, minecraft:flower_forest, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
261, forest, minecraft:flower_forest, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
262, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 30, 4, 4
263, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
264, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 30, 4, 4
265, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 30, 4, 4
266, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 30, 4, 4
267, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
268, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 30, 4, 4
269, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
270, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 30, 1, 1
271, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 30, 2, 4
272, forest, minecraft:flower_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
273, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 20, 2, 3
274, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 25, 7, 7
275, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
276, forest, minecraft:flower_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
277, forest, minecraft:flower_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
278, forest, minecraft:flower_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
279, forest, minecraft:flower_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
280, forest, minecraft:flower_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
281, forest, minecraft:flower_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
282, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:ferret, 10, 2, 3
283, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
284, forest, minecraft:flower_forest, CREATURE, friendsandfoes:moobloom, 30, 2, 4
285, forest, minecraft:flower_forest, CREATURE, hexerei:crow, 20, 2, 5
286, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
287, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 4, 4
288, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
289, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
290, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
291, forest, minecraft:flower_forest, CREATURE, mythicmounts:colelytra, 10, 2, 3
292, forest, minecraft:flower_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
293, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
294, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
295, forest, minecraft:flower_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
296, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_hunter, 10, 1, 1
297, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_stalker, 10, 3, 3
298, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 30, 4, 4
299, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
300, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 30, 4, 4
301, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 30, 4, 4
302, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 30, 4, 4
303, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
304, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 30, 4, 4
305, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
306, forest, minecraft:birch_forest, MONSTER, quark:stoneling, 30, 1, 1
307, forest, minecraft:birch_forest, MONSTER, quark:toretoise, 30, 2, 4
308, forest, minecraft:birch_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
309, forest, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 20, 2, 3
310, forest, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
311, forest, minecraft:birch_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
312, forest, minecraft:birch_forest, CREATURE, alexsmobs:sugar_glider, 15, 2, 4
313, forest, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
314, forest, minecraft:birch_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
315, forest, minecraft:birch_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
316, forest, minecraft:birch_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
317, forest, minecraft:birch_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
318, forest, minecraft:birch_forest, CREATURE, crittersandcompanions:ferret, 10, 2, 3
319, forest, minecraft:birch_forest, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
320, forest, minecraft:birch_forest, CREATURE, hexerei:crow, 20, 2, 5
321, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
322, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
323, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
324, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
325, forest, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
326, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
327, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
328, forest, minecraft:birch_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
