1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
43, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
44, minecraft:village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
45, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
46, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
47, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
48, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
49, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
50, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
51, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
52, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
53, dungeons_plus:tower, HEADING, header:ignore, 0, 0, 0
54, dungeons_plus:reanimated_ruins_mossy, HEADING, header:ignore, 0, 0, 0
55, dungeons_plus:reanimated_ruins_mesa, HEADING, header:ignore, 0, 0, 0
56, dungeons_plus:reanimated_ruins_frozen, HEADING, header:ignore, 0, 0, 0
57, dungeons_plus:leviathan, HEADING, header:ignore, 0, 0, 0
58, dungeons_plus:leviathan, MONSTER, minecraft:husk, 10, 1, 4
59, dungeons_plus:snowy_temple, HEADING, header:ignore, 0, 0, 0
60, dungeons_plus:snowy_temple, MONSTER, minecraft:stray, 10, 1, 4
61, dungeons_plus:warped_garden, HEADING, header:ignore, 0, 0, 0
62, dungeons_plus:warped_garden, MONSTER, minecraft:drowned, 10, 1, 4
63, dungeons_plus:soul_prison, HEADING, header:ignore, 0, 0, 0
64, dungeons_plus:soul_prison, MONSTER, minecraft:skeleton, 10, 1, 4
65, dungeons_plus:soul_prison, MONSTER, minecraft:ghast, 10, 1, 2
66, dungeons_plus:end_ruins, HEADING, header:ignore, 0, 0, 0
67, byg:pumpkin_patch, HEADING, header:ignore, 0, 0, 0
68, byg:village_salem, HEADING, header:ignore, 0, 0, 0
69, byg:village_red_rock, HEADING, header:ignore, 0, 0, 0
70, byg:village_skyris, HEADING, header:ignore, 0, 0, 0
71, byg:village_ruins, HEADING, header:ignore, 0, 0, 0
72, byg:village_tropical, HEADING, header:ignore, 0, 0, 0
73, byg:red_rock_arch, HEADING, header:ignore, 0, 0, 0
74, byg:overgrown_stone_arch, HEADING, header:ignore, 0, 0, 0
75, byg:stone_arch, HEADING, header:ignore, 0, 0, 0
76, byg:destroyed_red_rock_arch, HEADING, header:ignore, 0, 0, 0
77, byg:volcano, HEADING, header:ignore, 0, 0, 0
78, byg:ancient_sequoia, HEADING, header:ignore, 0, 0, 0
79, twilightforest:hedge_maze, HEADING, header:ignore, 0, 0, 0
80, twilightforest:quest_grove, HEADING, header:ignore, 0, 0, 0
81, twilightforest:mushroom_tower, HEADING, header:ignore, 0, 0, 0
82, twilightforest:small_hollow_hill, HEADING, header:ignore, 0, 0, 0
83, twilightforest:medium_hollow_hill, HEADING, header:ignore, 0, 0, 0
84, twilightforest:large_hollow_hill, HEADING, header:ignore, 0, 0, 0
85, twilightforest:naga_courtyard, HEADING, header:ignore, 0, 0, 0
86, twilightforest:lich_tower, HEADING, header:ignore, 0, 0, 0
87, twilightforest:labyrinth, HEADING, header:ignore, 0, 0, 0
88, twilightforest:hydra_lair, HEADING, header:ignore, 0, 0, 0
89, twilightforest:knight_stronghold, HEADING, header:ignore, 0, 0, 0
90, twilightforest:dark_tower, HEADING, header:ignore, 0, 0, 0
91, twilightforest:yeti_cave, HEADING, header:ignore, 0, 0, 0
92, twilightforest:aurora_palace, HEADING, header:ignore, 0, 0, 0
93, twilightforest:troll_cave, HEADING, header:ignore, 0, 0, 0
94, twilightforest:final_castle, HEADING, header:ignore, 0, 0, 0
95, deeperdarker:ancient_temple, HEADING, header:ignore, 0, 0, 0
96, ars_nouveau:hunter_wilden_den, HEADING, header:ignore, 0, 0, 0
97, ars_nouveau:hunter_wilden_den, MONSTER, ars_nouveau:wilden_hunter, 5, 3, 3
98, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
99, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 5, 1, 3
100, ars_nouveau:stalker_wilden_den, HEADING, header:ignore, 0, 0, 0
101, ars_nouveau:stalker_wilden_den, MONSTER, ars_nouveau:wilden_stalker, 5, 3, 3
102, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
103, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
104, idas:necromancers_spire, HEADING, header:ignore, 0, 0, 0
105, idas:necromancers_spire, MONSTER, quark:wraith, 10, 1, 1
106, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
107, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
108, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
109, caupona:fumarole, HEADING, header:ignore, 0, 0, 0
110, beautify:botanist_house_desert, HEADING, header:ignore, 0, 0, 0
111, structory_towers:ancient_temple, HEADING, header:ignore, 0, 0, 0
112, structory_towers:engineer_tower, HEADING, header:ignore, 0, 0, 0
113, structory_towers:farmer_outpost, HEADING, header:ignore, 0, 0, 0
114, structory_towers:foraging_outpost, HEADING, header:ignore, 0, 0, 0
115, structory_towers:great_toadstool, HEADING, header:ignore, 0, 0, 0
116, structory_towers:lighthouse, HEADING, header:ignore, 0, 0, 0
117, structory_towers:nomad_outpost, HEADING, header:ignore, 0, 0, 0
118, structory_towers:ocean_pillar, HEADING, header:ignore, 0, 0, 0
119, structory_towers:overgrown_mangrove, HEADING, header:ignore, 0, 0, 0
120, structory_towers:quarter_outpost, HEADING, header:ignore, 0, 0, 0
121, structory_towers:small_firetower, HEADING, header:ignore, 0, 0, 0
122, structory_towers:taiga_outpost, HEADING, header:ignore, 0, 0, 0
123, structory_towers:wizard_tower, HEADING, header:ignore, 0, 0, 0
124, beautify:botanist_house_plains, HEADING, header:ignore, 0, 0, 0
125, idas:labyrinth, HEADING, header:ignore, 0, 0, 0
126, idas:bazaar, HEADING, header:ignore, 0, 0, 0
127, structory_towers:warped_greatsword, HEADING, header:ignore, 0, 0, 0
128, spelunkery:cinnabar_wire, HEADING, header:ignore, 0, 0, 0
129, structory:taiga_ruin_surface, HEADING, header:ignore, 0, 0, 0
130, structory:taiga_ruin_underground, HEADING, header:ignore, 0, 0, 0
131, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
132, structory_towers:sacred_relic_temple, HEADING, header:ignore, 0, 0, 0
133, structory_towers:mirage_outpost, HEADING, header:ignore, 0, 0, 0
134, structory_towers:pillager_lookout, HEADING, header:ignore, 0, 0, 0
135, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
136, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 30, 4, 12
137, idas:sunken_ship/sunken_ship, HEADING, header:ignore, 0, 0, 0
138, idas:sunken_ship/sunken_ship, MONSTER, alexsmobs:skelewag, 2, 1, 2
139, idas:sunken_ship/sunken_ship, MONSTER, quark:wraith, 10, 1, 2
140, idas:sunken_ship/sunken_ship_coral, HEADING, header:ignore, 0, 0, 0
141, idas:sunken_ship/sunken_ship_coral, MONSTER, alexsmobs:skelewag, 2, 1, 2
142, idas:sunken_ship/sunken_ship_coral, MONSTER, quark:wraith, 10, 1, 2
143, idas:sunken_ship/sunken_ship_ruins, HEADING, header:ignore, 0, 0, 0
144, idas:sunken_ship/sunken_ship_ruins, MONSTER, alexsmobs:skelewag, 2, 1, 1
145, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
146, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
147, idas:ancient_mines, MONSTER, minecraft:silverfish, 10, 1, 1
148, idas:ancient_mines, MONSTER, quark:wraith, 10, 1, 1
149, idas:ancient_mines, MONSTER, alexsmobs:underminer, 10, 1, 1
150, idas:underground_camp/underground_camp, HEADING, header:ignore, 0, 0, 0
151, idas:underground_camp/underground_camp_deep, HEADING, header:ignore, 0, 0, 0
152, idas:pillager_fortress, HEADING, header:ignore, 0, 0, 0
153, idas:tinkers_workshop, HEADING, header:ignore, 0, 0, 0
154, idas:ruins_of_the_deep, HEADING, header:ignore, 0, 0, 0
155, idas:iceandfire/dread_citadel, HEADING, header:ignore, 0, 0, 0
156, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
157, idas:ancient_portal/ancient_portal, HEADING, header:ignore, 0, 0, 0
158, idas:ancient_portal/ancient_portal, MONSTER, minecraft:silverfish, 10, 1, 4
159, idas:ancient_portal/ancient_portal, MONSTER, quark:wraith, 10, 1, 4
160, idas:nexus, HEADING, header:ignore, 0, 0, 0
161, idas:nexus, MONSTER, minecraft:silverfish, 3, 1, 4
162, idas:nexus, MONSTER, quark:wraith, 3, 1, 4
163, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
164, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 30, 4, 12
165, idas:cottage, HEADING, header:ignore, 0, 0, 0
166, idas:animal_den/forest_den, HEADING, header:ignore, 0, 0, 0
167, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
168, idas:lumber_camp/lumber_camp_oak, HEADING, header:ignore, 0, 0, 0
169, idas:lumber_camp/lumber_camp_spruce, HEADING, header:ignore, 0, 0, 0
170, idas:lumber_camp/lumber_camp_birch, HEADING, header:ignore, 0, 0, 0
171, idas:lumber_camp/lumber_camp_jungle, HEADING, header:ignore, 0, 0, 0
172, idas:lumber_camp/lumber_camp_acacia, HEADING, header:ignore, 0, 0, 0
173, idas:lumber_camp/lumber_camp_dark_oak, HEADING, header:ignore, 0, 0, 0
174, idas:lumber_camp/lumber_camp_bygredwood, HEADING, header:ignore, 0, 0, 0
175, idas:lumber_camp/lumber_camp_bopredwood, HEADING, header:ignore, 0, 0, 0
176, idas:lumber_camp/lumber_camp_bygmahogany, HEADING, header:ignore, 0, 0, 0
177, idas:lumber_camp/lumber_camp_bopmahogany, HEADING, header:ignore, 0, 0, 0
178, idas:desert_camp/desert_camp, HEADING, header:ignore, 0, 0, 0
179, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
180, idas:desert_camp/desert_camp_orange, HEADING, header:ignore, 0, 0, 0
181, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
182, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
183, idas:ancient_statue/ancient_statue_jungle, HEADING, header:ignore, 0, 0, 0
184, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
185, idas:washing_camp, HEADING, header:ignore, 0, 0, 0
186, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
187, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
188, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
189, idas:pillager_camp, HEADING, header:ignore, 0, 0, 0
190, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
191, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
192, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
193, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
194, friendsandfoes:citadel, MONSTER, minecraft:blaze, 10, 1, 2
195, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
196, beautify:botanist_house_savanna, HEADING, header:ignore, 0, 0, 0
197, structory_towers:end/end_tower, HEADING, header:ignore, 0, 0, 0
198, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
199, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
200, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 10, 1, 1
201, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
202, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
203, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
204, swampier_swamps:village_swamp, HEADING, header:ignore, 0, 0, 0
205, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
206, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
207, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 10, 1, 1
208, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
209, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 30, 1, 1
210, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
211, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 30, 1, 1
212, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
213, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 30, 1, 1
214, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
215, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 30, 1, 1
216, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
217, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 30, 1, 1
218, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
219, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 30, 1, 1
220, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
221, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 30, 1, 1
222, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
223, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 30, 1, 1
224, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
225, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 30, 1, 1
226, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
227, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 30, 1, 1
228, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
229, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 30, 1, 1
230, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
231, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 30, 1, 1
232, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
233, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 30, 1, 1
234, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
235, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 30, 4, 12
236, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 30, 4, 8
237, ctov:pillager_outpost_beach, HEADING, header:ignore, 0, 0, 0
238, ctov:pillager_outpost_beach, MONSTER, minecraft:pillager, 10, 1, 5
239, ctov:pillager_outpost_beach, MONSTER, minecraft:evoker, 10, 1, 1
240, ctov:pillager_outpost_beach, MONSTER, minecraft:vindicator, 10, 1, 3
241, ctov:pillager_outpost_beach, MONSTER, minecraft:witch, 10, 1, 1
242, ctov:pillager_outpost_dark_forest, HEADING, header:ignore, 0, 0, 0
243, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:pillager, 10, 1, 5
244, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:evoker, 10, 1, 1
245, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:vindicator, 10, 1, 3
246, ctov:pillager_outpost_dark_forest, MONSTER, minecraft:witch, 10, 1, 1
247, ctov:pillager_outpost_desert, HEADING, header:ignore, 0, 0, 0
248, ctov:pillager_outpost_desert, MONSTER, minecraft:pillager, 10, 1, 5
249, ctov:pillager_outpost_desert, MONSTER, minecraft:evoker, 10, 1, 1
250, ctov:pillager_outpost_desert, MONSTER, minecraft:vindicator, 10, 1, 3
251, ctov:pillager_outpost_desert, MONSTER, minecraft:witch, 10, 1, 1
252, ctov:pillager_outpost_jungle, HEADING, header:ignore, 0, 0, 0
253, ctov:pillager_outpost_jungle, MONSTER, minecraft:pillager, 10, 1, 5
254, ctov:pillager_outpost_jungle, MONSTER, minecraft:evoker, 10, 1, 1
255, ctov:pillager_outpost_jungle, MONSTER, minecraft:vindicator, 10, 1, 3
256, ctov:pillager_outpost_jungle, MONSTER, minecraft:witch, 10, 1, 1
257, ctov:pillager_outpost_badlands, HEADING, header:ignore, 0, 0, 0
258, ctov:pillager_outpost_badlands, MONSTER, minecraft:pillager, 5, 1, 5
259, ctov:pillager_outpost_badlands, MONSTER, minecraft:evoker, 1, 1, 1
260, ctov:pillager_outpost_badlands, MONSTER, minecraft:vindicator, 2, 1, 3
261, ctov:pillager_outpost_badlands, MONSTER, minecraft:witch, 2, 1, 1
262, ctov:pillager_outpost_mountain, HEADING, header:ignore, 0, 0, 0
263, ctov:pillager_outpost_mountain, MONSTER, minecraft:pillager, 10, 1, 5
264, ctov:pillager_outpost_mountain, MONSTER, minecraft:evoker, 10, 1, 1
265, ctov:pillager_outpost_mountain, MONSTER, minecraft:vindicator, 10, 1, 3
266, ctov:pillager_outpost_mountain, MONSTER, minecraft:witch, 10, 1, 1
267, ctov:pillager_outpost_plains, HEADING, header:ignore, 0, 0, 0
268, ctov:pillager_outpost_plains, MONSTER, minecraft:pillager, 10, 1, 5
269, ctov:pillager_outpost_plains, MONSTER, minecraft:evoker, 10, 1, 1
270, ctov:pillager_outpost_plains, MONSTER, minecraft:vindicator, 10, 1, 3
271, ctov:pillager_outpost_plains, MONSTER, minecraft:witch, 10, 1, 1
272, ctov:pillager_outpost_savanna, HEADING, header:ignore, 0, 0, 0
273, ctov:pillager_outpost_savanna, MONSTER, minecraft:pillager, 10, 1, 5
274, ctov:pillager_outpost_savanna, MONSTER, minecraft:evoker, 10, 1, 1
275, ctov:pillager_outpost_savanna, MONSTER, minecraft:vindicator, 10, 1, 3
276, ctov:pillager_outpost_savanna, MONSTER, minecraft:witch, 10, 1, 1
277, ctov:pillager_outpost_snowy, HEADING, header:ignore, 0, 0, 0
278, ctov:pillager_outpost_snowy, MONSTER, minecraft:pillager, 10, 1, 5
279, ctov:pillager_outpost_snowy, MONSTER, minecraft:evoker, 10, 1, 1
280, ctov:pillager_outpost_snowy, MONSTER, minecraft:vindicator, 10, 1, 3
281, ctov:pillager_outpost_snowy, MONSTER, minecraft:witch, 10, 1, 1
282, ctov:pillager_outpost_swamp, HEADING, header:ignore, 0, 0, 0
283, ctov:pillager_outpost_swamp, MONSTER, minecraft:pillager, 10, 1, 5
284, ctov:pillager_outpost_swamp, MONSTER, minecraft:evoker, 10, 1, 1
285, ctov:pillager_outpost_swamp, MONSTER, minecraft:vindicator, 10, 1, 3
286, ctov:pillager_outpost_swamp, MONSTER, minecraft:witch, 10, 1, 1
287, ctov:pillager_outpost_taiga, HEADING, header:ignore, 0, 0, 0
288, ctov:pillager_outpost_taiga, MONSTER, minecraft:pillager, 10, 1, 5
289, ctov:pillager_outpost_taiga, MONSTER, minecraft:evoker, 10, 1, 1
290, ctov:pillager_outpost_taiga, MONSTER, minecraft:vindicator, 10, 1, 3
291, ctov:pillager_outpost_taiga, MONSTER, minecraft:witch, 10, 1, 1
292, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
293, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
294, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 10, 1, 3
295, integrated_stronghold:stronghold, MONSTER, minecraft:enderman, 10, 1, 1
296, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
297, ctov:large/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
298, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
299, ctov:large/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
300, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
301, ctov:large/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
302, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
303, ctov:large/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
304, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
305, ctov:large/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
306, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
307, ctov:large/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
308, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
309, ctov:large/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
310, ctov:large/village_desert, HEADING, header:ignore, 0, 0, 0
311, ctov:large/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
312, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
313, ctov:large/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
314, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
315, ctov:large/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
316, ctov:large/village_snowy, HEADING, header:ignore, 0, 0, 0
317, ctov:large/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
318, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
319, ctov:large/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
320, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
321, ctov:medium/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
322, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
323, ctov:medium/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
324, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
325, ctov:medium/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
326, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
327, ctov:medium/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
328, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
329, ctov:medium/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
330, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
331, ctov:medium/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
332, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
333, ctov:medium/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
334, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
335, ctov:medium/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
336, ctov:medium/village_plains, HEADING, header:ignore, 0, 0, 0
337, ctov:medium/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
338, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
339, ctov:medium/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
340, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
341, ctov:medium/village_snowy, CREATURE, mythicmounts:firebird, 10, 1, 1
342, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
343, ctov:medium/village_taiga, CREATURE, mythicmounts:firebird, 10, 1, 1
344, ctov:small/village_beach, HEADING, header:ignore, 0, 0, 0
345, ctov:small/village_beach, CREATURE, mythicmounts:firebird, 10, 1, 1
346, ctov:small/village_dark_forest, HEADING, header:ignore, 0, 0, 0
347, ctov:small/village_dark_forest, CREATURE, mythicmounts:firebird, 10, 1, 1
348, ctov:small/village_jungle, HEADING, header:ignore, 0, 0, 0
349, ctov:small/village_jungle, CREATURE, mythicmounts:firebird, 10, 1, 1
350, ctov:small/village_mesa, HEADING, header:ignore, 0, 0, 0
351, ctov:small/village_mesa, CREATURE, mythicmounts:firebird, 10, 1, 1
352, ctov:small/village_mountain, HEADING, header:ignore, 0, 0, 0
353, ctov:small/village_mountain, CREATURE, mythicmounts:firebird, 10, 1, 1
354, ctov:small/village_mushroom, HEADING, header:ignore, 0, 0, 0
355, ctov:small/village_mushroom, CREATURE, mythicmounts:firebird, 10, 1, 1
356, ctov:small/village_swamp, HEADING, header:ignore, 0, 0, 0
357, ctov:small/village_swamp, CREATURE, mythicmounts:firebird, 10, 1, 1
358, ctov:small/village_desert, HEADING, header:ignore, 0, 0, 0
359, ctov:small/village_desert, CREATURE, mythicmounts:firebird, 10, 1, 1
360, ctov:small/village_plains, HEADING, header:ignore, 0, 0, 0
361, ctov:small/village_plains, CREATURE, mythicmounts:firebird, 10, 1, 1
362, ctov:small/village_savanna, HEADING, header:ignore, 0, 0, 0
363, ctov:small/village_savanna, CREATURE, mythicmounts:firebird, 10, 1, 1
364, ctov:small/village_snowy, HEADING, header:ignore, 0, 0, 0
